table,variable,dtype,rows,missing,missing_pct,unique,zeros,negative,infinite,minimum,p01,median,p99,maximum,skew,iqr_outliers
county_year_panel,median_age_moe,float64,49717,0,0.0,175,0.0,0.0,0.0,0.1,0.1,0.5,6.9,69.7,10.287313795983332,5033.0
county_year_panel,median_age_moe_flag,str,49717,0,0.0,1,,,,,,,,,,
county_year_panel,median_household_income,float64,49717,8,0.01609107548725788,30994,0.0,0.0,0.0,17109.0,26330.48,49055.0,104850.83999999991,181765.0,1.3865292104131535,1643.0
county_year_panel,median_household_income_flag,str,49717,0,0.0,3,,,,,,,,,,
county_year_panel,median_household_income_moe,float64,49717,8,0.01609107548725788,9351,0.0,0.0,0.0,234.0,614.0,2819.0,13991.039999999935,69746.0,4.506948400456187,2885.0
county_year_panel,median_household_income_moe_flag,str,49717,0,0.0,3,,,,,,,,,,
county_year_panel,median_home_value,float64,49717,39,0.07844399300038216,4653,0.0,0.0,0.0,16800.0,51377.00000000001,124400.0,569100.0,1633900.0,3.5088565372603724,3283.0
county_year_panel,median_home_value_flag,str,49717,0,0.0,3,,,,,,,,,,
county_year_panel,median_home_value_moe,float64,49717,39,0.07844399300038216,17060,2.0,0.0,0.0,0.0,1375.0,6187.0,41046.20999999989,391352.0,8.38328556510224,3467.0
county_year_panel,median_home_value_moe_flag,str,49717,0,0.0,3,,,,,,,,,,
county_year_panel,median_gross_rent,float64,49717,57,0.1146489128467124,1690,0.0,0.0,0.0,99.0,400.0,692.0,1683.0,2922.0,1.9328355829160675,2579.0
county_year_panel,median_gross_rent_flag,str,49717,0,0.0,3,,,,,,,,,,
county_year_panel,median_gross_rent_moe,float64,49717,57,0.1146489128467124,505,2.0,0.0,0.0,0.0,7.590000000000032,39.0,269.0,1665.0,5.401370136584185,3606.0
county_year_panel,median_gross_rent_moe_flag,str,49717,0,0.0,3,,,,,,,,,,
