county_fips,incidentId,declaration_count,declaration_numbers
51023,2020030901,2,"3448, 4512"
51025,2020030901,2,"3448, 4512"
51027,2020030901,2,"3448, 4512"
51027,2024092301,2,"3621, 4831"
51029,2020030901,2,"3448, 4512"
51031,2020030901,2,"3448, 4512"
51033,2020030901,2,"3448, 4512"
51035,2020030901,2,"3448, 4512"
51035,2024092301,2,"3621, 4831"
51036,2018090602,2,"3403, 4401"
51036,2020030901,2,"3448, 4512"
51037,2020030901,2,"3448, 4512"
51041,2018090602,2,"3403, 4401"
51041,2020030901,2,"3448, 4512"
51043,2012102505,2,"3359, 4092"
51043,2020030901,2,"3448, 4512"
51045,2012102505,2,"3359, 4092"
51045,2018090602,2,"3403, 4401"
51045,2020030901,2,"3448, 4512"
51045,2024092301,2,"3621, 4831"
51047,2012102505,2,"3359, 4092"
51047,2020030901,2,"3448, 4512"
51049,2020030901,2,"3448, 4512"
51051,2020030901,2,"3448, 4512"
51051,2024092301,2,"3621, 4831"
51053,2020030901,2,"3448, 4512"
51057,2011082201,2,"3329, 4024"
51057,2012102505,2,"3359, 4092"
51057,2020030901,2,"3448, 4512"
51059,2020030901,2,"3448, 4512"
51061,2012102505,2,"3359, 4092"
51061,2020030901,2,"3448, 4512"
51063,2018090602,2,"3403, 4401"
51063,2020030901,2,"3448, 4512"
51065,2020030901,2,"3448, 4512"
51067,2018090602,2,"3403, 4401"
51067,2020030901,2,"3448, 4512"
51069,2012102505,2,"3359, 4092"
51069,2020030901,2,"3448, 4512"
51071,2020030901,2,"3448, 4512"
51071,2024092301,2,"3621, 4831"
51073,2020030901,2,"3448, 4512"
51075,2020030901,2,"3448, 4512"
51077,2018090602,2,"3403, 4401"
51077,2020030901,2,"3448, 4512"
51077,2024092301,2,"3621, 4831"
51079,2012102505,2,"3359, 4092"
51079,2020030901,2,"3448, 4512"
51081,2020030901,2,"3448, 4512"
51083,2018090602,2,"3403, 4401"
51083,2020030901,2,"3448, 4512"
51085,2020030901,2,"3448, 4512"
51087,2011082201,2,"3329, 4024"
51087,2020030901,2,"3448, 4512"
51089,2018090602,2,"3403, 4401"
51089,2020030901,2,"3448, 4512"
51091,2012102505,2,"3359, 4092"
51091,2020030901,2,"3448, 4512"
51093,2011082201,2,"3329, 4024"
51093,2018090602,2,"3403, 4401"
51093,2020030901,2,"3448, 4512"
51095,2011082201,2,"3329, 4024"
51095,2020030901,2,"3448, 4512"
51097,2011082201,2,"3329, 4024"
51097,2012102505,2,"3359, 4092"
51097,2018090602,2,"3403, 4401"
51097,2020030901,2,"3448, 4512"
51099,2011082201,2,"3329, 4024"
51099,2020030901,2,"3448, 4512"
51101,2018090602,2,"3403, 4401"
51101,2020030901,2,"3448, 4512"
51103,2011082201,2,"3329, 4024"
51103,2012102505,2,"3359, 4092"
51103,2018090602,2,"3403, 4401"
51103,2020030901,2,"3448, 4512"
51105,2020030901,2,"3448, 4512"
51107,2012102505,2,"3359, 4092"
51107,2020030901,2,"3448, 4512"
51109,2020030901,2,"3448, 4512"
51111,2018090602,2,"3403, 4401"
51111,2020030901,2,"3448, 4512"
51113,2012102505,2,"3359, 4092"
51113,2020030901,2,"3448, 4512"
51115,2011082201,2,"3329, 4024"
51115,2012102505,2,"3359, 4092"
51115,2018090602,2,"3403, 4401"
51115,2020030901,2,"3448, 4512"
51117,2018090602,2,"3403, 4401"
51117,2020030901,2,"3448, 4512"
51119,2011082201,2,"3329, 4024"
51119,2012102505,2,"3359, 4092"
51119,2020030901,2,"3448, 4512"
51121,2020030901,2,"3448, 4512"
51121,2024092301,2,"3621, 4831"
51125,2012102505,2,"3359, 4092"
51125,2018090602,2,"3403, 4401"
51125,2020030901,2,"3448, 4512"
51127,2011082201,2,"3329, 4024"
51127,2012102505,2,"3359, 4092"
51127,2020030901,2,"3448, 4512"
51131,2011082201,2,"3329, 4024"
51131,2012102505,2,"3359, 4092"
51131,2020030901,2,"3448, 4512"
51133,2011082201,2,"3329, 4024"
51133,2012102505,2,"3359, 4092"
51133,2018090602,2,"3403, 4401"
51133,2020030901,2,"3448, 4512"
51135,2018090602,2,"3403, 4401"
51135,2020030901,2,"3448, 4512"
51137,2020030901,2,"3448, 4512"
51139,2020030901,2,"3448, 4512"
51141,2018090602,2,"3403, 4401"
51141,2020030901,2,"3448, 4512"
51143,2018090602,2,"3403, 4401"
51143,2020030901,2,"3448, 4512"
51143,2024092301,2,"3621, 4831"
51145,2020030901,2,"3448, 4512"
51147,2020030901,2,"3448, 4512"
51149,2020030901,2,"3448, 4512"
51153,2012102505,2,"3359, 4092"
51153,2020030901,2,"3448, 4512"
51155,2018090602,2,"3403, 4401"
51155,2020030901,2,"3448, 4512"
51155,2024092301,2,"3621, 4831"
51157,2012102505,2,"3359, 4092"
51157,2020030901,2,"3448, 4512"
51159,2011082201,2,"3329, 4024"
51159,2020030901,2,"3448, 4512"
51161,2020030901,2,"3448, 4512"
51163,2020030901,2,"3448, 4512"
51165,2020030901,2,"3448, 4512"
51167,2018090602,2,"3403, 4401"
51167,2020030901,2,"3448, 4512"
51167,2024092301,2,"3621, 4831"
51169,2020030901,2,"3448, 4512"
51169,2024092301,2,"3621, 4831"
51171,2012102505,2,"3359, 4092"
51171,2020030901,2,"3448, 4512"
51173,2020030901,2,"3448, 4512"
51173,2024092301,2,"3621, 4831"
51175,2020030901,2,"3448, 4512"
51177,2020030901,2,"3448, 4512"
51179,2020030901,2,"3448, 4512"
51181,2011082201,2,"3329, 4024"
51181,2012102505,2,"3359, 4092"
51181,2020030901,2,"3448, 4512"
51183,2011082201,2,"3329, 4024"
51183,2020030901,2,"3448, 4512"
51185,2020030901,2,"3448, 4512"
51185,2024092301,2,"3621, 4831"
51187,2012102505,2,"3359, 4092"
51187,2020030901,2,"3448, 4512"
51191,2020030901,2,"3448, 4512"
51191,2024092301,2,"3621, 4831"
51193,2011082201,2,"3329, 4024"
51193,2012102505,2,"3359, 4092"
51193,2020030901,2,"3448, 4512"
51195,2020030901,2,"3448, 4512"
51195,2024092301,2,"3621, 4831"
51197,2020030901,2,"3448, 4512"
51197,2024092301,2,"3621, 4831"
51199,2011082201,2,"3329, 4024"
51199,2020030901,2,"3448, 4512"
51510,2020030901,2,"3448, 4512"
51520,2018090602,2,"3403, 4401"
51520,2020030901,2,"3448, 4512"
51520,2024092301,2,"3621, 4831"
51530,2020030901,2,"3448, 4512"
51540,2020030901,2,"3448, 4512"
51550,2011082201,2,"3329, 4024"
51550,2020030901,2,"3448, 4512"
51570,2020030901,2,"3448, 4512"
51580,2020030901,2,"3448, 4512"
51580,2024092301,2,"3621, 4831"
51590,2018090602,2,"3403, 4401"
51590,2020030901,2,"3448, 4512"
51590,2024092301,2,"3621, 4831"
51595,2020030901,2,"3448, 4512"
51600,2012102505,2,"3359, 4092"
51600,2020030901,2,"3448, 4512"
